Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
363	FINISHING INTERNATIONAL COMPANY- FIC	Textile		10109
364	COMEX	Commerce		10000
365	FRIGOLINE	Tourisme	9074	9981
366	COTUNACE	Assurances	10181	9961
367	STE FERMETURE EMBALLAGES PLASTIQUE  (2)	Plastique	9381	9904
368	STE CONGELATION PROD PÊCHE ET AGR- SOCEPA	I.A.A	6466	9858
369	STE TNNE MARCHES DE GROS- SOTUMAG	Commerce/Services	9221	9840
370	ENFAVET INTERNATONAL	Textile	9277	9787
371	GROUPE AMORIM	Industrie	9341	9775
372	ABC GROS  (13)	Commerce		9771
373	SOHATRAM	Transport	12686	9581
374	COMETE INTERNATIONAL	Services	12016	9524
375	CRIT	Services	8975	9494
376	STE TNNE CHAUFFAGE ECLAIRAGE PLOMBERIE- SOTUCEP	Commerce	9313	9455
377	STE TNNE COLLECTE LAIT - SOTUCOLAIT  (2)	I.A.A	10026	9435
378	PROMO FOOD  (15)	I.A.A	8443	9394
